29	Shapiro JM	2007			86		Book	Proceedings Paper	0	Practical layered rateless codes for the Gaussian channel: Power allocation and implementation	WOS:000255431000018
30	Bacry E	2012	J APPL PROBAB	49	482		Journal	Article	0	CONTINUOUS-TIME SKEWED MULTIFRACTAL PROCESSES AS A MODEL FOR FINANCIAL RETURNS	WOS:000306025200013
31	Bacry E	2012	EUR PHYS J B	85			Journal	Article	0	Non-parametric kernel estimation for symmetric Hawkes processes. Application to high frequency financial data	WOS:000304659200016
32	Baile R	2011	WIND ENERGY	14	719		Journal	Article	0	Short-term forecasting of surface layer wind speed using a continuous random cascade model	WOS:000295598500002
33	Baile R	2011	WIND ENERGY	14	735		Journal	Article	0	An M-Rice wind speed frequency distribution	WOS:000295598500003
34	Al Dayri K	2011	NEW ECON WINDOWS		155		Book	Proceedings Paper	0	The Nature of Price Returns During Periods of High Market Activity	WOS:000291893200011
35	Bacry E	2011	INT CONF ACOUST SPEE		5740		Series	Proceedings Paper	0	MODELING MICROSTRUCTURE NOISE USING HAWKES PROCESSES	WOS:000296062406112
36	Baile R	2010	PHYS REV LETT	105			Journal	Article	1	Spatial Intermittency of Surface Layer Wind Fluctuations at Mesoscale Range	WOS:000286750400015
37	Bacry E	2010	ANN APPL PROBAB	20	1729		Journal	Article	3	MULTIFRACTAL ANALYSIS IN A MIXED ASYMPTOTIC FRAMEWORK	WOS:000283791000006
38	Muzy JF	2010	PHYS REV E	81			Journal	Article	5	Intermittency of surface-layer wind velocity series in the mesoscale range	WOS:000278148500039
39	Silvani X	2009	INT COMMUN HEAT MASS	36	887		Journal	Article	2	Wildfire spread experiments: Fluctuations in thermal measurements	WOS:000271334300001
40	Muzy JF	2008	EPL-EUROPHYS LETT	82			Journal	Article	3	Uncovering latent singularities from multifractal scaling laws in mixed asymptotic regime. Application to turbulence	WOS:000258785400007
41	Bacry E	2006	PHYSICA A	370	119		Journal	Article; Proceedings Paper	1	Are asset return tail estimations related to volatility long-range correlations?	WOS:000240477600023
42	Muzy JF	2006	PHYS REV E	73			Journal	Article	16	Extreme values and fat tails of multifractal fluctuations	WOS:000238694200032
43	Sornette D	2004			91		Book	Proceedings Paper	0	Volatility fingerprints of large shocks: Endogenous versus exogenous	WOS:000187421800012
44	Bacry E	2003	COMMUN MATH PHYS	236	449		Journal	Article	75	Log-infinitely divisible multifractal processes	WOS:000183860700003
45	Muzy JF	2002	PHYS REV E	66			Journal	Article	45	Multifractal stationary random measures and multifractal random walks with log infinitely divisible scaling laws	WOS:000179630800118
46	Bacry E	2001	PHYSICA A	299	84		Journal	Article; Proceedings Paper	30	Modelling financial time series using multifractal random walks	WOS:000171675300008
47	Audit B	2001	PHYS REV LETT	86	2471		Journal	Article	85	Long-range correlations in genomic DNA: A signature of the nucleosomal structure	WOS:000167445200071
48	Muzy JF	2000	EUR PHYS J B	17	537		Journal	Article	136	Modelling fluctuations of financial time series: from cascade process to stochastic volatility model	WOS:000090109700017
49	Deminiere B	1999	PHYS REV LETT	82	229		Journal	Article	27	Cell growth in a 3D cellular system undergoing coalescence	WOS:000077887000057
50	MUZY JF	1995	ANN PHYS-PARIS	20	63		Journal	Review	3	WAVELET ANALYSIS OF FRACTAL DISTRIBUTION	WOS:A1995RL98400001
51	BOUACHACHE B	1979	CR ACAD SCI A MATH	288	307		Journal	Article	11	POSITIVENESS OF TIME AND FREQUENCY REPRESENTATIONS FOR FINITE-ENERGY SIGNALS	WOS:A1979GM15100021
52	ESCUDIE B	1980	CR ACAD SCI A MATH	291	171		Journal	Article	0	SOME PROPERTIES OF JOINT REPRESENTATION AND AMBIGUITY FUNCTION OF FINITE-ENERGY SIGNALS	WOS:A1980KL72100026
53	FLANDRIN P	1980	SIGNAL PROCESS	2	93		Journal	Article	22	TIME AND FREQUENCY REPRESENTATION OF FINITE-ENERGY SIGNALS - A PHYSICAL PROPERTY AS A RESULT OF AN HILBERTIAN CONDITION	WOS:A1980JQ72200001
54	FLANDRIN P	1982	CR ACAD SCI I-MATH	294	281		Journal	Article	2	CORRESPONDENCE RULES AND STAR-PRODUCTS IN THE TIME-FREQUENCY PLANE	WOS:A1982NN94400003
55	FLANDRIN P	1982	CR ACAD SCI I-MATH	295	475		Journal	Article	2	ON THE LOCALIZATION OF JOINT REPRESENTATIONS IN THE TIME-FREQUENCY PLANE	WOS:A1982PU57900009
56	FLANDRIN P	1984	PHYS LETT A	105	453		Journal	Article	4	CORRESPONDENCE RULES AND PROPERTIES OF SMOOTHED PHASE-SPACE DISTRIBUTION-FUNCTIONS	WOS:A1984TU81500006
57	FLANDRIN P	1984	SIGNAL PROCESS	6	27		Journal	Article	17	AN INTERPRETATION OF THE PSEUDO-WIGNER-VILLE DISTRIBUTION	WOS:A1984SH17600002
58	MARTIN W	1985	IEEE T ACOUST SPEECH	33	1461		Journal	Article	215	WIGNER-VILLE SPECTRAL-ANALYSIS OF NONSTATIONARY PROCESSES	WOS:A1985AVS3300013
59	MARTIN W	1985	SIGNAL PROCESS	8	215		Journal	Article	35	DETECTION OF CHANGES OF SIGNAL STRUCTURE BY USING THE WIGNER-VILLE SPECTRUM	WOS:A1985AKB9700005
60	FLANDRIN P	1986	SIGNAL PROCESS	11	187		Journal	Note	9	ON THE POSITIVITY OF THE WIGNER-VILLE SPECTRUM	WOS:A1986E092900008
61	FLANDRIN P	1986	ACUSTICA	62	40		Journal	Article	2	SENSITIVITY OF DOPPLER TOLERANCE TO THE STRUCTURE OF BAT-LIKE SONAR SIGNALS	WOS:A1986F228600004
62	FLANDRIN P	1988	IEEE T ACOUST SPEECH	36	1377		Journal	Article	83	A TIME-FREQUENCY FORMULATION OF OPTIMUM DETECTION	WOS:A1988P834600001
63	FLANDRIN P	1989	IEEE T INFORM THEORY	35	197		Journal	Letter	208	ON THE SPECTRUM OF FRACTIONAL BROWNIAN MOTIONS	WOS:A1989U539400025
64	FLANDRIN P	1990	LECT NOTES MATH	1438	80		Journal	Article	0	SOME TIME-FREQUENCY AND TIME-SCALE METHODS IN SIGNAL-PROCESSING	WOS:A1990EG39500006
65	FLANDRIN P	1990	IEEE T ACOUST SPEECH	38	350		Journal	Note	2	GENERALIZED TARGET DESCRIPTION AND WAVELET DECOMPOSITION	WOS:A1990CQ18400015
66	FLANDRIN P	1990	J PHYS-PARIS	51	707		Journal	Article; Proceedings Paper	2	TIME-FREQUENCY METHODS IN ACOUSTICS	WOS:A1990DB04800016
67	CHIOLLAZ M	1990	J PHYS-PARIS	51	741		Journal	Article; Proceedings Paper	0	IDENTIFICATION OF NOISE SOURCES IN AUTOMOBILE ENGINES - CHARACTERIZATION BY WIGNER-VILLE TIME-FREQUENCY ANALYSIS	WOS:A1990DB04800023
68	BEGUET P	1990	J PHYS-PARIS	51	777		Journal	Article; Proceedings Paper	0	ANALYSIS OF NONSTATIONARY NOISE SOURCES USING SPACE K-SPACE REPRESENTATION	WOS:A1990DB04800032
69	FLANDRIN P	1992	IEEE T INFORM THEORY	38	910		Journal	Letter	308	WAVELET ANALYSIS AND SYNTHESIS OF FRACTIONAL BROWNIAN-MOTION	WOS:A1992HG00800031
70	RIOUL O	1992	IEEE T SIGNAL PROCES	40	1746		Journal	Article	130	TIME-SCALE ENERGY-DISTRIBUTIONS - A GENERAL-CLASS EXTENDING WAVELET TRANSFORMS	WOS:A1992JA31900013
71	DUHAMEL P	1993	IEEE T SIGNAL PROCES	41	3213		Journal	Editorial Material	3	WAVELETS AND SIGNAL-PROCESSING - INTRODUCTION	WOS:A1993MU18200001
72	Abry P	1994	IEEE SIGNAL PROC LET	1	32		Journal	Article	26	On the Initialization of the Discrete Wavelet Transform Algorithm	WOS:000207085400003
73	ABRY P	1994	J PHYS II	4	725		Journal	Article	47	ANALYSIS OF PRESSURE-FLUCTUATIONS IN SWIRLING TURBULENT FLOWS	WOS:A1994NM81900001
74	AUGER F	1995	IEEE T SIGNAL PROCES	43	1068		Journal	Article	253	IMPROVING THE READABILITY OF TIME-FREQUENCY AND TIME-SCALE REPRESENTATIONS BY THE REASSIGNMENT METHOD	WOS:A1995QX51100004
75	AUGER F	1995	IEEE T SIGNAL PROCES	43	2038		Journal	Correction, Addition	0	IMPROVING THE READABILITY OF TIME-FREQUENCY AND TIME-SCALE REPRESENTATIONS BY THE REASSIGNMENT METHOD (VOL 43, PG 1068, 1995)	WOS:A1995RN88200042
76	Flandrin P	1996	APPL COMPUT HARMON A	3	10		Journal	Article	25	Geometry of affine time-frequency distributions	WOS:A1996TZ58800002
77	Michel O	1996	SIGNAL PROCESS	53	133		Journal	Article	3	Application of methods based on higher-order statistics for chaotic time series analysis	WOS:A1996VQ58500005
78	Flandrin P	1998	J MATH PHYS	39	4016		Journal	Article	7	Separability, positivity, and minimum uncertainty in time-frequency energy distributions	WOS:000075206300007
79	Chassande-Mottin E	1998	MULTIDIM SYST SIGN P	9	355		Journal	Article	5	On the statistics of spectrogram reassignment vectors	WOS:000076688300005
80	Chassande-Mottin E	1999	APPL COMPUT HARMON A	6	252		Journal	Article	26	On the time-frequency detection of chirps	WOS:000078980800005
81	Flandrin P	1999	CR ACAD SCI I-MATH	329	485		Journal	Article	0	An uncertainty relation for continuous wavelet transforms	WOS:000083039100006
82	O'Neill JC	1999	IEEE SIGNAL PROC LET	6	304		Journal	Article	18	On the existence of discrete Wigner distributions	WOS:000083713300003
83	Chassande-Mottin E	2000			362		Book	Proceedings Paper	0	Estimating singularities with reassigned distributions	WOS:000166107600081
84	Dorney T	2000	P SOC PHOTO-OPT INS	4121	218		Series	Proceedings Paper	0	Edge localized image sharpening via reassignment with application to computed tomography	WOS:000165629400021
85	Michel O	2000	INT CONF ACOUST SPEE		89		Series	Proceedings Paper	0	Automatic extraction of time-frequency skeletons with minimal spanning trees	WOS:000088999500023
86	Veitch D	2000	INT CONF ACOUST SPEE		245		Series	Proceedings Paper	0	Infinitely Divisible Cascade analysis of network traffic data	WOS:000088999500062
87	O'Neill JC	2000	IEEE T SIGNAL PROCES	48	2641		Journal	Article	8	Virtues and vices of quartic time-frequency distributions	WOS:000088851100017
88	Chassande-Mottin E	2001	PROG MATH	202	583		Book	Proceedings Paper	0	Reassigned scalograms and singularities	WOS:000173939800051
89	Borgnat P	2001			66		Book	Proceedings Paper	0	Stochastic discrete scale invariance and Lamperti transformation	WOS:000173158400015
90	Flandrin P	2001	PROC SPIE	4391	161		Series	Proceedings Paper	2	Time-frequency and chirps	WOS:000169942000018
91	Roux S	2001	INT CONF ACOUST SPEE		3425		Series	Proceedings Paper	0	Statistical scaling analysis of TCP/IP data using cascades	WOS:000173806500858
92	Baraniuk RG	2001	IEEE T INFORM THEORY	47	1391		Journal	Article	72	Measuring time-frequency information content using the Renyi entropies	WOS:000168790600009
93	Borgnat P	2002	CONF REC ASILOMAR C		1576		Series	Proceedings Paper	0	Generalized Lamperti transformation of broken scale invariance	WOS:000182548900295
94	Flandrin P	2002	J PHYS IV	12	35		Journal	Article	1	Introduction to time-frequency analysis	WOS:000175261200003
95	Abry P	2002	IEEE SIGNAL PROC MAG	19	28		Journal	Article	121	Multiscale nature of network traffic	WOS:000175080300005
96	Borgnat P	2002	IEEE SIGNAL PROC LET	9	181		Journal	Article	12	Stochastic discrete scale invariance	WOS:000176532300006
97	Custaud MA	2002	AUTON NEUROSCI-BASIC	100	66		Journal	Article	28	Orthostatic tolerance and spontaneous baroreflex sensitivity in men versus women after 7 days of head-down bed rest	WOS:000179115400010
98	Amblard PO	2003	P SOC PHOTO-OPT INS	5114	507		Series	Proceedings Paper	0	Stochastic processes with finite size scale invariance	WOS:000184242000053
99	Flandrin P	2003	LECT NOTES PHYS	621	88		Series	Proceedings Paper	9	From stationarity to self-similarity, and back: Variations on the Lamperti transformation	WOS:000183726200005
100	Borgnat P	2003	APPL COMPUT HARMON A	15	134		Journal	Article	7	On the chirp decomposition of Weierstrass-Mandelbrot functions, and their time-frequency interpretation	WOS:000185879200003
101	Neto EPS	2004	METHOD INFORM MED	43	60		Journal	Article; Proceedings Paper	12	Assessment of cardiovascular autonomic control by the empirical mode decomposition	WOS:000220474700015
102	Flandrin P	2004	IEEE SIGNAL PROC LET	11	112		Journal	Article	400	Empirical mode decomposition as a filter bank	WOS:000188369600014
103	Flandrin P	2005	INTERD MATH SCI	5	57		Book	Proceedings Paper	0	EMD equivalent filter banks, from interpretation to applications	WOS:000239182400003
104	Rilling G	2005	INT CONF ACOUST SPEE		489		Series	Proceedings Paper	2	Empirical mode decomposition, fractional Gaussian noise and hurst exponent estimation	WOS:000229404203123
105	Borgnat P	2005	J PHYS A-MATH GEN	38	2081		Journal	Article	5	Scale invariances and Lamperti transformations for stochastic processes	WOS:000228030900002
106	Honeine P	2006	INT CONF ACOUST SPEE		476		Series	Proceedings Paper	0	Optimal selection of time-frequency representations for signal classification: A kernel-target alignment approach	WOS:000245098900120
107	Rilling G	2006	INT CONF ACOUST SPEE		444		Series	Proceedings Paper	1	On the influence of sampling on the empirical mode decomposition	WOS:000245098900112
108	Rilling G	2006	INT CONF ACOUST SPEE		2895		Series	Proceedings Paper	0	On the influence of sampling on the empirical mode decomposition	WOS:000245559903135
109	Honeine P	2006	INT CONF ACOUST SPEE		2927		Series	Proceedings Paper	0	Optimal selection of time-frequency representations for signal classification: A kernel-target alignment approach	WOS:000245559903143
110	Goncalves P	2007	INT CONF ACOUST SPEE		1153		Series	Proceedings Paper	0	Fractal dimension estimation: Empirical mode decomposition versus wavelets	WOS:000248906600289
111	Xiao J	2007			720		Book	Proceedings Paper	2	Testing stationarity with surrogates - A one-class SVM approach	WOS:000253416000148
112	Xiao J	2007	IEEE T SIGNAL PROCES	55	2851		Journal	Article; Proceedings Paper	17	Multitaper time-frequency reassignment for nonstationary spectrum estimation and chirp enhancement	WOS:000246705500008
113	Honeine P	2007	IEEE T SIGNAL PROCES	55	3930		Journal	Article	8	Time-frequency learning machines	WOS:000247488900030
114	Neto EPD	2007	FUND CLIN PHARMACOL	21	481		Journal	Article	5	Empirical mode decomposition to assess cardiovascular autonomic control in rats	WOS:000249485900004
115	Rilling G	2007	IEEE SIGNAL PROC LET	14	936		Journal	Article	58	Bivariate empirical mode decomposition	WOS:000251295400011
116	Flandrin P	2008	TRAIT SIGNAL	25	251		Journal	Editorial Material	0	Untitled	WOS:000264712500001
117	Rilling G	2008	IEEE T SIGNAL PROCES	56	85		Journal	Article	69	One or two frequencies? The empirical mode decomposition answers	WOS:000251947200008
118	Flandrin P	2008	J PHYS CONF SER	139			Series	Proceedings Paper	1	Revisiting and testing stationarity	WOS:000271969600004
119	Xiao J	2008	TRAIT SIGNAL	25	357		Journal	Article	1	On a time-frequency test of stationarity	WOS:000264712500010
120	Borgnat P	2008	INT CONF ACOUST SPEE		3785		Series	Proceedings Paper	3	Time-frequency localization from sparsity constraints	WOS:000257456702269
121	Borgnat P	2009	J STAT MECH-THEORY E				Journal	Article	5	Stationarization via surrogates	WOS:000262340100001
122	Amoud H	2009			565		Book	Proceedings Paper	0	TIME-FREQUENCY LEARNING MACHINES FOR NONSTATIONARITY DETECTION USING SURROGATES	WOS:000274988800142
123	Richard C	2010	INT CONF ACOUST SPEE		3666		Series	Proceedings Paper	0	STATISTICAL HYPOTHESIS TESTING WITH TIME-FREQUENCY SURROGATES TO CHECK SIGNAL STATIONARITY	WOS:000287096003151
124	Moghtaderi A	2010	INT CONF ACOUST SPEE		3678		Series	Proceedings Paper	0	TIME-VARYING SPECTRUM ESTIMATION OF UNIFORMLY MODULATED PROCESSES BY MEANS OF SURROGATE DATA AND EMPIRICAL MODE DECOMPOSITION	WOS:000287096003154
125	Sandberg J	2010	IEEE SIGNAL PROC LET	17	343		Journal	Article	3	Multitaper Estimation of Frequency-Warped Cepstra With Application to Speaker Verification	WOS:000274733400001
126	Flandrin P	2010	ADV COMPLEX SYST	13	439		Journal	Article	0	AN EMPIRICAL MODEL FOR ELECTRONIC SUBMISSIONS TO CONFERENCES	WOS:000279727400012
127	Flandrin P	2010	IEEE T SIGNAL PROCES	58	2974		Journal	Article	0	Time-Frequency Energy Distributions Meet Compressed Sensing	WOS:000277773600005
