90	0	UMR 5672 CNRS
91	0	ENS
91	0	CNRS
91	0	UMR 5672
92	0	Rice Univ
92	0	Dept Elect & Comp Engn
92	1	Ecole Normale Super Lyon
92	1	Phys Lab
92	1	CNRS
92	1	UMR 5672
92	2	Philips Res Labs
92	3	Astrophys Lab
93	0	Ecole Normale Super Lyon
93	0	Phys Lab
93	0	UMR CNRS 5672
94	0	Ecole Normale Super Lyon
94	0	Phys Lab
94	0	CNRS
94	0	UMR 5672
95	0	Ecole Normale Super Lyon
95	0	CNRS
96	0	Ecole Normale Super Lyon
96	0	Phys Lab
96	0	CNRS
96	0	UMR 5672
96	1	ENSIEG
96	1	Lab Images & Signaux
96	1	CNRS
96	1	UMR 5083
97	0	Lab Physiol Environm
97	0	EA 645
97	1	Ecole Normale Super
97	1	Phys Lab
98	0	ENSIEG
98	0	UMR CNRS 5083
98	0	Lab Images & Signaux
99	0	Ecole Normale Super Lyon
99	0	CNRS
99	0	UMR 5672
99	0	Lab Phys
100	0	Ecole Normale Super Lyon
100	0	CNRS
100	0	UMR 5672
100	0	Phys Lab
101	0	Ecole Normale Super Lyon
101	0	Phys Lab
101	1	Univ Lyon 1
101	1	Environm Physiol Lab
102	0	Ecole Normale Super Lyon
102	0	Phys Lab
102	0	CNRS
102	0	UMR 5672
102	1	INRIA Rhone Alpes
102	1	Project IS2
103	0	Ecole Normale Super Lyon
103	0	Phys Lab
103	0	CNRS
103	0	UMR 5672
104	0	Ecole Normale Super Lyon
104	0	CNRS
104	0	UMR 5672
104	0	Phys Lab
105	0	Ecole Normale Super Lyon
105	0	Phys Lab
105	0	UMR 5672
105	0	CNRS
105	1	ENSIEG
105	1	CNRS
105	1	Lab Images & Signaux
105	1	UMR 5083
105	1	BP 46
106	0	Sonalyse
107	0	Ecole Normale Super Lyon
107	0	CNRS
107	0	UMR 5672
107	0	Lab Phys
108	0	Ecole Normale Super Lyon
108	0	Phys Lab
108	0	CNRS
108	0	UMR 5672
109	0	Sonalyse
110	0	INRIA
110	0	ENS Lyon
110	0	LIP
110	0	RESO
